date,nav,exposure,repo_amount,final_multiplier,circuit_breaker_triggered,drawdown_level,drawdown,n_positions,position_names,defense_active,offense_top
2014-01-27,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,黄金;国债ETF,
2014-01-28,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,
2014-01-29,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板,
2014-01-30,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,
2014-02-07,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;黄金;国债ETF,
2014-02-10,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;黄金;国债ETF,
2014-02-11,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,黄金;国债ETF,
2014-02-12,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,黄金;国债ETF,
2014-02-13,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,国债ETF,
2014-02-14,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,黄金;国债ETF,
2014-02-17,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;黄金,
2014-02-18,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,国债ETF,
2014-02-19,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;国债ETF,
2014-02-20,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,
2014-02-21,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指,
2014-02-24,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,黄金,
2014-02-25,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金;国债ETF,
2014-02-26,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金,
2014-02-27,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;国债ETF,
2014-02-28,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指,
2014-03-03,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,
2014-03-04,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,
2014-03-05,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,
2014-03-06,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,
2014-03-07,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,
2014-03-10,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,
